"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
17080.313111546,17080.318359375
17236.8297455969,17236.837890625
17393.3463796478,17393.353515625
17549.8630136986,17549.87109375
17706.3796477495,17706.4375
17862.8962818004,17862.90234375
18019.4129158513,18019.416015625
18175.9295499022,18175.93359375
18332.446183953,18332.44921875
18488.9628180039,18488.96484375
18645.4794520548,18645.482421875
18801.9960861057,18802
18958.5127201566,18958.666015625
19115.0293542074,19115.03515625
19271.5459882583,19271.55078125
19428.0626223092,19428.064453125
19584.5792563601,19584.583984375
19741.095890411,19741.103515625
19897.6125244618,19897.6171875
20054.1291585127,20054.1328125
20210.6457925636,20210.6484375
20367.1624266145,20367.1640625
20523.6790606654,20523.681640625
20680.1956947162,20680.1953125
20836.7123287671,20836.7109375
20993.228962818,20993.228515625
21149.7455968689,21149.82421875
21306.2622309198,21306.259765625
21462.7788649706,21462.78125
21619.2954990215,21619.29296875
21775.8121330724,21775.7421875
21932.3287671233,21932.326171875
22088.8454011742,22088.84375
22245.3620352251,22245.357421875
22401.8786692759,22401.876953125
22558.3953033268,22558.392578125
22714.9119373777,22714.908203125
22871.4285714286,22871.421875
23027.9452054795,23028.185546875
23184.4618395303,23184.45703125
23340.9784735812,23340.97265625
23497.4951076321,23497.490234375
23654.011741683,23654.005859375
23810.5283757339,23810.6484375
23967.0450097847,23967.037109375
24123.5616438356,24123.5546875
24280.0782778865,24280.07421875
24436.5949119374,24436.58984375
24593.1115459883,24593.107421875
24749.6281800391,24749.62109375
24906.14481409,24906.13671875
25062.6614481409,25062.65625
25219.1780821918,25219.169921875
25375.6947162427,25375.69140625
25532.2113502935,25532.20703125
25688.7279843444,25688.72265625
25845.2446183953,25845.236328125
26001.7612524462,26001.7578125
26158.2778864971,26158.2734375
26314.7945205479,26314.791015625
26471.3111545988,26471.310546875
26627.8277886497,26627.822265625
26784.3444227006,26784.341796875
26940.8610567515,26940.861328125
27097.3776908024,27097.376953125
27253.8943248532,27253.890625
27410.4109589041,27410.408203125
27566.927592955,27566.9296875
27723.4442270059,27723.439453125
27879.9608610568,27879.9609375
28036.4774951076,28036.478515625
28192.9941291585,28192.99609375
28349.5107632094,28349.513671875
28506.0273972603,28506.029296875
28662.5440313112,28662.546875
28819.060665362,28819.0546875
28975.5772994129,28975.576171875
29132.0939334638,29132.099609375
29288.6105675147,29288.611328125
29445.1272015656,29445.130859375
29601.6438356164,29601.646484375
29758.1604696673,29758.166015625
29914.6771037182,29914.68359375
30071.1937377691,30071.197265625
30227.71037182,30227.71875
30384.2270058708,30384.232421875
30540.7436399217,30540.74609375
30697.2602739726,30697.171875
30853.7769080235,30853.78125
31010.2935420744,31010.197265625
31166.8101761252,31166.81640625
31323.3268101761,31323.330078125
31479.843444227,31479.849609375
31636.3600782779,31636.369140625
31792.8767123288,31792.8828125
31949.3933463796,31949.30078125
32105.9099804305,32105.91796875
32262.4266144814,32262.4375
32418.9432485323,32418.947265625
32575.4598825832,32575.46484375
32731.9765166341,32731.98046875
32888.4931506849,32888.49609375
33045.0097847358,33045.015625
33201.5264187867,33201.53515625
33358.0430528376,33358.1484375
33514.5596868885,33514.5625
33671.0763209393,33671.08984375
33827.5929549902,33827.58984375
33984.1095890411,33984.109375
34140.626223092,34140.625
34297.1428571429,34297.140625
34453.6594911937,34453.66015625
34610.1761252446,34610.1796875
34766.6927592955,34766.6953125
34923.2093933464,34923.2109375
35079.7260273973,35079.7265625
35236.2426614481,35236.2421875
35392.759295499,35392.76171875
35549.2759295499,35549.28125
35705.7925636008,35705.796875
35862.3091976517,35862.30078125
36018.8258317025,36018.82421875
36175.3424657534,36175.33984375
36331.8590998043,36331.8515625
36488.3757338552,36488.375
36644.8923679061,36644.890625
36801.4090019569,36801.40625
36957.9256360078,36957.91796875
37114.4422700587,37114.4375
37270.9589041096,37270.95703125
37427.4755381605,37427.47265625
37583.9921722114,37583.98828125
37740.5088062622,37740.49609375
37897.0254403131,37897.02734375
38053.542074364,38053.54296875
38210.0587084149,38210.05078125
38366.5753424658,38366.56640625
38523.0919765166,38523.0859375
38679.6086105675,38679.60546875
38836.1252446184,38836.12890625
38992.6418786693,38992.6328125
39149.1585127202,39149.15234375
39305.675146771,39305.67578125
39462.1917808219,39462.18359375
39618.7084148728,39618.69921875
39775.2250489237,39775.23828125
39931.7416829746,39931.734375
40088.2583170254,40088.12890625
40244.7749510763,40244.765625
40401.2915851272,40401.76953125
40557.8082191781,40557.796875
40714.324853229,40714.3125
40870.8414872798,40870.83203125
41027.3581213307,41027.23046875
41183.8747553816,41183.8671875
41340.3913894325,41340.375
41496.9080234834,41496.90234375
41653.4246575342,41653.41796875
41809.9412915851,41809.9296875
41966.457925636,41966.4453125
42122.9745596869,42122.97265625
42279.4911937378,42279.65234375
42436.0078277887,42436.01171875
42592.5244618395,42592.53125
42749.0410958904,42749.046875
42905.5577299413,42905.56640625
43062.0743639922,43062.07421875
43218.5909980431,43218.59765625
43375.1076320939,43375.11328125
43531.6242661448,43531.6328125
43688.1409001957,43688.1484375
43844.6575342466,43844.65625
44001.1741682975,44001.1796875
44157.6908023483,44157.703125
44314.2074363992,44314.2109375
44470.7240704501,44470.73046875
44627.240704501,44627.26171875
44783.7573385519,44783.7578125
44940.2739726027,44940.28515625
45096.7906066536,45096.7890625
45253.3072407045,45253.31640625
45409.8238747554,45409.8203125
45566.3405088063,45566.33984375
45722.8571428571,45722.86328125
45879.373776908,45879.38671875
46035.8904109589,46036.9609375
46192.4070450098,46192.4140625
46348.9236790607,46348.93359375
46505.4403131115,46505.4453125
46661.9569471624,46661.96484375
46818.4735812133,46818.47265625
46974.9902152642,46974.9921875
47131.5068493151,47131.515625
47288.023483366,47288.03125
47444.5401174168,47442.71484375
47601.0567514677,47601.06640625
47757.5733855186,47757.57421875
47914.0900195695,47914.08984375
48070.6066536204,48070.609375
48227.1232876712,48226.96484375
48383.6399217221,48383.64453125
48540.156555773,48540.1640625
48696.6731898239,48696.67578125
48853.1898238748,48852.9765625
49009.7064579256,49009.70703125
49166.2230919765,49166.22265625
49322.7397260274,49322.74609375
49479.2563600783,49479.04296875
49635.7729941292,49635.9375
49792.28962818,49792.2890625
49948.8062622309,49948.80859375
50105.3228962818,50105.31640625
50261.8395303327,50261.8359375
50418.3561643836,50418.359375
50574.8727984344,50574.8671875
50731.3894324853,50731.39453125
50887.9060665362,50887.9140625
51044.4227005871,51044.4140625
51200.939334638,51200.9296875
51357.4559686889,51357.45703125
51513.9726027397,51513.96484375
51670.4892367906,51670.48828125
51827.0058708415,51826.99609375
51983.5225048924,51983.5234375
52140.0391389433,52140.03515625
52296.5557729941,52296.5546875
52453.072407045,52453.0703125
52609.5890410959,52609.5859375
52766.1056751468,52766.09375
52922.6223091977,52922.625
53079.1389432485,53079.13671875
53235.6555772994,53235.65234375
53392.1722113503,53392.1640625
53548.6888454012,53548.671875
53705.2054794521,53705.20703125
53861.7221135029,53861.71875
54018.2387475538,54018.23828125
54174.7553816047,54174.75
54331.2720156556,54331.27734375
54487.7886497065,54487.78515625
54644.3052837573,54644.3046875
54800.8219178082,54800.82421875
54957.3385518591,54957.34765625
55113.85518591,55113.9921875
55270.3718199609,55270.36328125
55426.8884540117,55426.88671875
55583.4050880626,55583.41015625
55739.9217221135,55739.93359375
55896.4383561644,55896.43359375
56052.9549902153,56052.95703125
56209.4716242662,56209.46484375
56365.988258317,56365.98828125
56522.5048923679,56522.5078125
56679.0215264188,56679.02734375
56835.5381604697,56835.54296875
56992.0547945206,56992.0625
57148.5714285714,57148.578125
57305.0880626223,57305.08203125
57461.6046966732,57461.6015625
57618.1213307241,57617.9765625
57774.637964775,57774.640625
57931.1545988258,57931.15234375
58087.6712328767,58087.47265625
58244.1878669276,58244.1953125
58400.7045009785,58400.71484375
58557.2211350294,58557.23046875
58713.7377690802,58713.74609375
58870.2544031311,58870.25390625
59026.771037182,59026.51953125
59183.2876712329,59183.2890625
59339.8043052838,59339.8046875
59496.3209393346,59496.765625
59652.8375733855,59652.84375
59809.3542074364,59809.3671875
59965.8708414873,59965.8828125
60122.3874755382,60122.3984375
60278.904109589,60278.89453125
60435.4207436399,60435.4296875
60591.9373776908,60591.73828125
60748.4540117417,60748.45703125
60904.9706457926,60904.97265625
61061.4872798435,61061.5
61218.0039138943,61218.01171875
61374.5205479452,61374.52734375
61531.0371819961,61531.0390625
61687.553816047,61687.7421875
61844.0704500979,61844.24609375
62000.5870841487,62000.59375
62157.1037181996,62157.1171875
62313.6203522505,62313.62109375
62470.1369863014,62470.56640625
62626.6536203523,62626.66015625
62783.1702544031,62783.17578125
62939.686888454,62941.50390625
63096.2035225049,63096.2109375
63252.7201565558,63252.71484375
63409.2367906067,63409.2421875
63565.7534246575,63565.75390625
63722.2700587084,63722.26171875
63878.7866927593,63878.7890625
64035.3033268102,64035.296875
64191.8199608611,64191.81640625
64348.3365949119,64348.3359375
64504.8532289628,64504.84765625
64661.3698630137,64661.36328125
64817.8864970646,64817.88671875
64974.4031311155,64974.39453125
65130.9197651663,65130.91796875
65287.4363992172,65287.4296875
65443.9530332681,65443.74609375
65600.469667319,65600.453125
65756.9863013699,65756.984375
65913.5029354208,65913.5
66070.0195694716,66070.0234375
66226.5362035225,66226.5234375
66383.0528375734,66383.0546875
66539.5694716243,66539.5703125
66696.0861056751,66696.09375
66852.602739726,66852.6015625
67009.1193737769,67008.9140625
67165.6360078278,67165.625
67322.1526418787,67323.15625
67478.6692759296,67478.65625
67635.1859099804,67635.1796875
67791.7025440313,67791.703125
67948.2191780822,67946.609375
68104.7358121331,68104.9296875
68261.252446184,68261.25
68417.7690802348,68417.7578125
68574.2857142857,68574.2890625
68730.8023483366,68730.8125
68887.3189823875,68887.328125
69043.8356164384,69043.671875
69200.3522504892,69200.3046875
69356.8688845401,69356.875
69513.385518591,69513.375
69669.9021526419,69669.890625
69826.4187866928,69827.1875
69982.9354207436,69982.9296875
70139.4520547945,70139.46875
70295.9686888454,70295.96875
